분류,자치구,공연/행사명,날짜/시간,장소,기관명,이용대상,이용요금,출연자정보,프로그램소개,기타내용,홈페이지주소,대표이미지,신청일,시민/기관,시작일,종료일,테마분류,위도(X좌표),경도(Y좌표),유무료,문화포털상세URL
전시/미술,중구,[공간공모 지원사업] 도도 도,2023-12-06~2023-12-12,서울시청 시민청 지하 1층 시민플라자 A,북서울꿈의숲,시민 누구나,,,,,https://www.seoulcitizenshall.kr/?r=sch&m=program2&cate=&ing=active&sort=uid&mod=view&p=1&uid=2741,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3e4c95f97ba644238adfb7d78bc887be&thumb=Y,2023-11-06,기관,00:00.0,00:00.0,기타,37.566635,126.978675,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144046&menuNo=200009
전시/미술,서초구,2023 서울포토페스티벌 [제8회 대한민국사진축전],2023-12-06~2023-12-10,양재 aT센터 제1전시장,기타,전체관람가,,,,,https://www.at.or.kr/ac/event/acko311200/posterView.action?eventId=27375,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a6a5258e68f74c8cbf19bcfc51d13d44&thumb=Y,2023-11-15,시민,00:00.0,00:00.0,기타,37.46827871,127.0391364,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144230&menuNo=200009
클래식,서초구,고잉홈프로젝트: 베토벤 전곡 시리즈 1.,2023-12-06~2023-12-06,예술의전당 콘서트홀,기타,만7세 이상 누구나,"R석 100,000원 / S석 80,000원 / A석 50,000원 / B석 30,000원",고잉홈프로젝트,"베토벤 교향곡 1, 2, 3번",,https://www.sac.or.kr/site/main/show/show_view?SN=60342,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c790a9f87bcc495cbe0ec0de31e178ae&thumb=Y,2023-11-19,시민,00:00.0,00:00.0,기타,37.4802402,127.0142152,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144280&menuNo=200008
클래식,종로구,함께 한 여정 함께 할 미래,2023-12-06~2023-12-06,세종체임버홀,세종문화회관,2016년 이전 출생자 (2016년생 포함) 및 초등학생 이상 입장 가능,"R석 50,000원, S석 30,000원",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34737&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=678972da09c34adb988598d63edcae44&thumb=Y,2023-11-20,기관,00:00.0,00:00.0,기타,37.5726241,126.9760053,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144299&menuNo=200008
클래식,중랑구,[중랑문화재단] 마에스트로 금난새의 해설이 있는 클래식,2023-12-06~2023-12-06,중랑구민회관 대극장,중랑문화재단,만 6세 이상,,,,,https://www.jnfac.or.kr/festival/show_resv_view.html?pid=14&redir=%2Ffestival%2Fshow_resv.html%3Fstatus%3D%26year%3D%26sdate%3D%26edate%3D%26find%3D%26search%3D%26page%3D1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=42071e4b5c344d998f4de003435b0e2e&thumb=Y,2023-11-15,기관,00:00.0,00:00.0,기타,37.57408755,127.0851295,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144226&menuNo=200008
축제-기타,마포구,[M클래식 축제] 마포공연예술관광페스티벌 킷 암스트롱 피아노 리사이틀,2023-12-06~2023-12-06,마포아트센터 아트홀맥,마포문화재단,8세 이상,"R석 50,000원 / S석 30,000 / A석 20,000원",킷 암스트롱,,,https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2218&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a746bbf37f4d439aa5a2711e6fbd6e54&thumb=Y,2023-07-06,기관,00:00.0,00:00.0,기타,37.54990609,126.9455338,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142295&menuNo=200010
콘서트,성동구,12월 문화가 흐르는 청계천의 밤,2023-12-06~2023-12-06,청계천박물관 3층 강당,청계천박물관,시민 누구나,,,,,https://museum.seoul.go.kr/cgcm/board/NR_boardList.do?bbsCd=1014,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0e1d6c7010e04413bf66f77d9c8edd7f&thumb=Y,2023-11-17,기관,00:00.0,00:00.0,기타,37.57126617,127.0350432,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144275&menuNo=200008
뮤지컬/오페라,서초구,All that Opera [라보엠],2023-12-05~2023-12-06,서초문화재단 반포심산아트홀,서초문화재단,초등학생 이상,"전석 2만원(서초구민 60%/ 서초문화재단 홈페이지 회원, 학생, 경로 50%)",,,,https://www.seochocf.or.kr/site/main/seocho/show/view?show_idx=638,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=26428ec2292548618045cf7b71e8922c&thumb=Y,2023-11-19,기관,00:00.0,00:00.0,기타,37.49883446,126.9912425,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144282&menuNo=200008
클래식,마포구, M 아티스트 2023 김도현 피아노 리사이틀 II,2023-12-05~2023-12-05,마포아트센터 아트홀맥,마포문화재단, 8세이상관람가[미취학아동입장불가]," VIP석 55,000원, R석 44,000원, S석 33,000원",피아니스트 김도현,,,https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2176&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6a59720cd9c34bbfa056eb6b5031f809&thumb=Y,2023-03-15,기관,00:00.0,00:00.0,기타,37.54990609,126.9455338,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141022&menuNo=200008
클래식,종로구,제53회 메시아 연주회,2023-12-05~2023-12-05,세종대극장,세종문화회관,취학 아동부터 입장 가능,"R석 70,000원 / S석 50,000원 / A석 30,000원 /  B석 20,000원",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34754&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d932d07d04564f40892aadebe2b0e955&thumb=Y,2023-11-17,기관,00:00.0,00:00.0,기타,37.5726241,126.9760053,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144272&menuNo=200008
